isbn;titulo;autor;paginas;ano_publicacao;genero;subgenero;tipo;pais_autor;nome_serie;num_serie;formato;avaliacao;data_inicio;data_termino;preco;data_compra;tipo_aquisicao;Status
B084Q6YFSS;Verity;Colleen Hoover;307;2018;Suspense;Thriller Psicologico;Ficção;Estados Unidos;;;Ebook;4.0;2024-04-11;2024-04-24;;;Kindle;concluido
9788551006757;Coraline;Neil Gaiman;224;2002;Fantasia;Fantasia Sombria;Ficção;Reino Unido;;;Ebook;3.5;2025-12-16;2025-12-16;;;Kindle;concluido
B0DLT5MXTN;Noites Brancas;Fyodor Dostoevsky;87;1848;Romance;Romance Psicologico;Ficção;Russia;;;Ebook;3.5;2025-07-09;2025-07-15;;;Kindle;concluido
9788535925647;A entrega;Dennis Lehane;184;1993;Suspense;Policial;Ficção;Estados Unidos;;;Ebook;3.5;2021-06-06;2021-06-10;;;Kindle;concluido
9788539006397;Vale tudo;Nelson Motta;392;1987;Biografia;Biografia Musical;Não Ficção;Brasil;;;Fisico;3.5;2018-01-01;2018-02-19;;;Presente;concluido
9788535924015;Dias Perfeitos;Raphael Montes;249;2014;Suspense;Thriller Psicologico;Ficção;Brasil;;;Ebook;3.5;2025-07-09;2025-07-11;;;Kindle;concluido
9786559212811;Jantar Secreto;Raphael Montes;368;2016;Suspense;Thriller Psicologico;Ficção;Brasil;;;Ebook;3.5;2024-10-04;2024-10-11;;;Kindle;concluido
9788580863116;Sobre meninos e lobos - Mystic River;Dennis Lehane;344;2001;Drama;Policial;Ficção;Estados Unidos;;;Ebook;3.5;2024-07-18;2024-08-20;;;Kindle;concluido
9788501923400;Nunca minta;Freida McFadden;283;2022;Suspense;Thriller Psicologico;Ficção;Estados Unidos;;;Ebook;3.5;2026-01-13;2026-01-14;;;Kindle;concluido
9788576572039;Eu, Robô;Isaac Asimov;277;1950;Ficção Cientifica;Robotica;Ficção;Estados Unidos;;;Fisico;3.0;2018-02-02;2018-04-05; R$ 50,00 ;2018-01-15;Comprado;concluido
858086139X;A metamorfose;Franz Kafka;76;1915;Ficção;Existencialismo;Ficção;República Tcheca;;;Ebook;3.0;2025-07-16;2025-08-08;;;Kindle;concluido
B0FSK1RFV7;Misery;Stephen King;328;1087;Terror;Thriller Psicologico;Ficção;Estados Unidos;;;Ebook;3.0;2025-04-03;2025-04-16;;;Kindle;concluido
9788551011928;Nós já moramos aqui;Marcus Kliewer;327;2024;Terror;Thriller Psicologico;Ficção;Estados Unidos;;;Ebook;3.0;2026-01-02;2026-01-06;;;Kindle;concluido
9788525406613;Frankenstein;Mary Shelley;252;1818;Terror;Terror Gótico;Ficção;Reino Unido;;;Ebook;2.5;2025-11-17;2025-12-08;;;Kindle;concluido
9788599296516;Não conte a ninguém;Harlan Coben;256;2001;Suspense;Investigativo;Ficção;Estados Unidos;;;Ebook;4.5;2026-01-27;2026-01-30;;;Kindle;concluido
9786555604627;Desenhos ocultos;Jason Rekulak;384;2022;Suspense;Suspense sobrenatural;Ficção;Estados Unidos;;;Ebook;4.0;2026-02-23;2026-02-26;;;Kindle;concluido
9788576573166;Guerra Do Velho;John Scalzi;356;2005;Ficção Cientifica;Militar;Ficção;Estados Unidos;;;Fisico;3.5;2026-04-20;2026-05-15; R$ 72,10 ;2026-03-18;Comprado;concluido
9788556510853;O instituto;Stephen King;544;2019;Terror;Suspense sobrenatural;Ficção;Estados Unidos;;;Fisico;5.0;2026-03-19;2026-03-27; R$ 80,00 ;2026-02-01;Comprado;concluido
9786556220475;A última casa da rua Needless;Catriona Ward;394;2021;Terror;Terror psicologico;Ficção;Reino Unido;;;Ebook;1.5;2026-03-12;2026-03-17;;;Kindle;concluido
9999105328564;O Hobbit;J.R.R. Tolkien;345;1937;Fantasia;Fantasia Epica;Ficção;Reino Unido;;;Fisico;4.5;2026-04-07;2026-04-17; R$ 43,50 ;2026-03-11;Comprado;concluido
9788576838784;Bunker: diário da agonia;Kevin Brooks;272;2013;Suspense;Thriller psicologico;Ficção;Reino Unido;;;Ebook;2.5;2026-06-30;2026-07-01;;;Kindle;concluido
9786555984613;Casamento Perfeito;Jeneva Rose;320;2020;Suspense;Thriller psicologico;Ficção;Estados Unidos;;;Fisico;3.0;2026-03-30;2026-04-07;;;Emprestado;concluido
9786550474256;Mindset Milionário ;Don Green;176;2024;Desenvolvimento Pessoal;Finanças;Não Ficção;Estados Unidos;;;Fisico;3.5;2026-07-27;2026-07-31;;;Emprestado;concluido
